Internal ID,OFQID,Port of Loading,Final Destination,Cargo Ready Date,Incoterm,PO(s),Container Type,# of Containers,Rate/Unit,Date Received,Forwarder,Port of Discharge,Last CY/CFS,Vessel ETD,Vessel ETA,Last CY/CFS ETA,# of Free Days,Carrier,Shipping Mode,OFRID,Forwarder/Carrier,Rate/Unit,Port of Loading,Port of Discharge,Last CY/CFS,Valid Until,Carrier
1787,OFQ1787,"Hai Phong, Vietnam","Commerce, CA",8/17/2026,FOB,"PO155634, PO156319",40' HC,1,,,,,,,,,,,,OFR6970,Constellation Logistics LLC,2590,"Hai Phong, Vietnam","Los Angeles, CA","Los Angeles, CA",9/30/2026,HPL
1787,OFQ1787,"Hai Phong, Vietnam","Commerce, CA",8/17/2026,FOB,"PO155634, PO156319",40' HC,1,,,,,,,,,,,,OFR6964,Constellation Logistics LLC,2990,"Hai Phong, Vietnam","Long Beach, CA","Los Angeles, CA",9/30/2026,CMA
1787,OFQ1787,"Hai Phong, Vietnam","Commerce, CA",8/17/2026,FOB,"PO155634, PO156319",40' HC,1,,,,,,,,,,,,OFR6966,Constellation Logistics LLC,2139,"Hai Phong, Vietnam","Los Angeles, CA","Los Angeles, CA",9/30/2026,ONE
1787,OFQ1787,"Hai Phong, Vietnam","Commerce, CA",8/17/2026,FOB,"PO155634, PO156319",40' HC,1,,,,,,,,,,,,OFR6968,Constellation Logistics LLC,2071,"Hai Phong, Vietnam","Los Angeles, CA","Los Angeles, CA",9/30/2026,MSC
1787,OFQ1787,"Hai Phong, Vietnam","Commerce, CA",8/17/2026,FOB,"PO155634, PO156319",40' HC,1,,,,,,,,,,,,OFR6971,Constellation Logistics LLC,2086,"Hai Phong, Vietnam","Los Angeles, CA","Los Angeles, CA",9/30/2026,HMM
1787,OFQ1787,"Hai Phong, Vietnam","Commerce, CA",8/17/2026,FOB,"PO155634, PO156319",40' HC,1,,,,,,,,,,,,OFR6969,Constellation Logistics LLC,2445,"Hai Phong, Vietnam","Los Angeles, CA","Los Angeles, CA",6/30/2027,HPL
1787,OFQ1787,"Hai Phong, Vietnam","Commerce, CA",8/17/2026,FOB,"PO155634, PO156319",40' HC,1,,,,,,,,,,,,OFR6967,Constellation Logistics LLC,2439,"Hai Phong, Vietnam","Los Angeles, CA","Los Angeles, CA",9/30/2026,CMA
1787,OFQ1787,"Hai Phong, Vietnam","Commerce, CA",8/17/2026,FOB,"PO155634, PO156319",40' HC,1,,,,,,,,,,,,OFR6965,Constellation Logistics LLC,3070,"Hai Phong, Vietnam","Los Angeles, CA","Los Angeles, CA",9/30/2026,ONE
1787,OFQ1787,"Hai Phong, Vietnam","Commerce, CA",8/17/2026,FOB,"PO155634, PO156319",40' HC,1,,,,,,,,,,,,OFR6972,Constellation Logistics LLC,2186,"Hai Phong, Vietnam","Los Angeles, CA","Los Angeles, CA",9/30/2026,MSC
1785,OFQ1785,"Pipavav, India","Commerce, CA",7/30/2026,DDP,"PO156196, PO156270, PO156296, PO156299, PO156313",40' HC,1,,,,,,,,,,,,OFR6938,Topocean Consolidation Service (Los Angeles),6825,"Pipavav, India","Los Angeles, CA","Los Angeles, CA",7/31/2026,HMM
1785,OFQ1785,"Pipavav, India","Commerce, CA",7/30/2026,DDP,"PO156196, PO156270, PO156296, PO156299, PO156313",40' HC,1,,,,,,,,,,,,OFR6961,Constellation Logistics LLC,2086,"Pipavav, India","Los Angeles, CA","Los Angeles, CA",9/30/2026,HPL
1785,OFQ1785,"Pipavav, India","Commerce, CA",7/30/2026,DDP,"PO156196, PO156270, PO156296, PO156299, PO156313",40' HC,1,,,,,,,,,,,,OFR6960,Constellation Logistics LLC,3549,"Pipavav, India","Los Angeles, CA","Los Angeles, CA",9/30/2026,CMA
1785,OFQ1785,"Pipavav, India","Commerce, CA",7/30/2026,DDP,"PO156196, PO156270, PO156296, PO156299, PO156313",40' HC,1,,,,,,,,,,,,OFR6959,Constellation Logistics LLC,2139,"Pipavav, India","Los Angeles, CA","Los Angeles, CA",9/30/2026,ONE
1780,OFQ1780,"Pipavav, India","Coppell, TX",8/16/2026,DDP,"PO156376, PO156377",40' HC,2,,,,,,,,,,,,OFR6939,Topocean Consolidation Service (Los Angeles),9705,"Pipavav, India","Los Angeles, CA","Dallas, TX",7/31/2026,MSC
1780,OFQ1780,"Pipavav, India","Coppell, TX",8/16/2026,DDP,"PO156376, PO156377",40' HC,2,,,,,,,,,,,,OFR6925,Oec Shipping Los Angeles Inc,8700,"Pipavav, India","Houston, TX","Dallas, TX",7/31/2026,HMM
1781,OFQ1781,"Pipavav, India","Greencastle, PA",8/25/2026,DDP,PO156378,40' HC,1,,,,,,,,,,,,OFR6940,Topocean Consolidation Service (Los Angeles),9005,"Pipavav, India","Baltimore, MD","Baltimore, MD",7/31/2026,HPL
